year,selling_price,km_driven,fuel,transmission,mileage,engine,max_power,torque,seats,mean_price_by_fuel,median_price_by_fuel,car_age,mean_price_by_age,mean_price_by_transmission,median_price_by_transmission
2014.0,450000.0,145500.0,Diesel,Manual,23.4,1248,1248,190.0,5.0,647996.1115363587,525000.0,11.0,512367.17586206895,451816.6323673071,400000.0
2014.0,370000.0,120000.0,Diesel,Manual,21.14,1498,1498,250.0,5.0,647996.1115363587,525000.0,11.0,512367.17586206895,451816.6323673071,400000.0
2006.0,158000.0,140000.0,Petrol,Manual,17.7,1497,1497,12.7,5.0,384050.7800201816,320000.0,19.0,170462.23529411765,451816.6323673071,400000.0
2010.0,225000.0,127000.0,Diesel,Manual,23.0,1396,1396,22.4,5.0,647996.1115363587,525000.0,15.0,275407.16897506925,451816.6323673071,400000.0
2007.0,130000.0,120000.0,Petrol,Manual,16.1,1298,1298,11.5,5.0,384050.7800201816,320000.0,18.0,176171.2831325301,451816.6323673071,400000.0
2017.0,440000.0,45000.0,Petrol,Manual,20.14,1197,1197,113.75,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2007.0,96000.0,175000.0,LPG,Manual,17.3,1061,1061,7.8,5.0,210885.7142857143,200000.0,18.0,176171.2831325301,451816.6323673071,400000.0
2001.0,45000.0,5000.0,Petrol,Manual,16.1,796,796,59.0,4.0,384050.7800201816,320000.0,24.0,46500.0,451816.6323673071,400000.0
2011.0,350000.0,90000.0,Diesel,Manual,23.59,1364,1364,170.0,5.0,647996.1115363587,525000.0,14.0,316033.60186915885,451816.6323673071,400000.0
2013.0,200000.0,169000.0,Diesel,Manual,20.0,1399,1399,160.0,5.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2014.0,500000.0,68000.0,Diesel,Manual,19.01,1461,1461,248.0,5.0,647996.1115363587,525000.0,11.0,512367.17586206895,451816.6323673071,400000.0
2005.0,92000.0,100000.0,Petrol,Manual,17.3,993,993,78.0,5.0,384050.7800201816,320000.0,20.0,139864.27142857143,451816.6323673071,400000.0
2009.0,280000.0,140000.0,Diesel,Manual,19.3,1248,1248,190.0,5.0,647996.1115363587,525000.0,16.0,230213.28444444443,451816.6323673071,400000.0
2009.0,180000.0,90000.0,Petrol,Manual,18.9,1061,1061,84.0,5.0,384050.7800201816,320000.0,16.0,230213.28444444443,451816.6323673071,400000.0
2016.0,400000.0,40000.0,Petrol,Manual,18.15,1198,1198,115.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2016.0,778000.0,70000.0,Diesel,Manual,24.52,1248,1248,200.0,7.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2012.0,500000.0,53000.0,Diesel,Manual,23.0,1396,1396,22.4,5.0,647996.1115363587,525000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2002.0,150000.0,80000.0,Petrol,Manual,19.7,796,796,62.0,5.0,384050.7800201816,320000.0,23.0,103789.42105263157,451816.6323673071,400000.0
2016.0,680000.0,100000.0,Diesel,Manual,22.54,1396,1396,219.7,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2011.0,174000.0,100000.0,Diesel,Manual,21.0,1461,1461,160.0,5.0,647996.1115363587,525000.0,14.0,316033.60186915885,451816.6323673071,400000.0
2017.0,950000.0,50000.0,Diesel,Manual,25.5,1498,1498,200.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2015.0,525000.0,40000.0,Diesel,Manual,26.59,1248,1248,190.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2012.0,600000.0,72000.0,Diesel,Manual,21.5,1248,1248,200.0,5.0,647996.1115363587,525000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2018.0,500000.0,35000.0,Petrol,Manual,20.3,1199,1199,114.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2016.0,575000.0,45000.0,Petrol,Manual,21.4,1197,1197,115.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2017.0,275000.0,28000.0,Petrol,Manual,24.7,796,796,69.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2013.0,300000.0,70000.0,Diesel,Manual,18.2,1248,1248,172.5,7.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2009.0,220000.0,120000.0,Petrol,Manual,18.9,1061,1061,84.0,5.0,384050.7800201816,320000.0,16.0,230213.28444444443,451816.6323673071,400000.0
2018.0,254999.0,25000.0,Petrol,Manual,16.8,796,796,59.0,8.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2017.0,670000.0,70000.0,Diesel,Manual,24.3,1248,1248,200.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2012.0,150000.0,35000.0,Petrol,Manual,14.0,796,796,6.1,5.0,384050.7800201816,320000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2018.0,730000.0,2388.0,Petrol,Manual,18.6,1197,1197,114.7,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2017.0,650000.0,16200.0,Diesel,Manual,24.3,1248,1248,200.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2019.0,330000.0,10000.0,CNG,Manual,33.44,796,796,60.0,4.0,317666.60784313723,330000.0,6.0,949668.5475504323,451816.6323673071,400000.0
2019.0,366000.0,15000.0,Petrol,Manual,23.95,998,998,90.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,451816.6323673071,400000.0
2019.0,1149000.0,5000.0,Petrol,Manual,17.0,1591,1591,151.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,451816.6323673071,400000.0
2016.0,150000.0,42000.0,Petrol,Manual,20.63,1198,1198,104.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2011.0,425000.0,60000.0,Diesel,Manual,13.93,2179,2179,320.0,7.0,647996.1115363587,525000.0,14.0,316033.60186915885,451816.6323673071,400000.0
2012.0,150000.0,76000.0,Petrol,Manual,16.1,796,796,59.0,4.0,384050.7800201816,320000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2019.0,2100000.0,5000.0,Petrol,Automatic,16.0,1368,1368,250.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,1322916.4973913042,850000.0
2018.0,925000.0,28900.0,Petrol,Manual,17.8,1497,1497,145.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2013.0,425000.0,86300.0,Petrol,Manual,16.8,1497,1497,146.0,5.0,384050.7800201816,320000.0,12.0,452257.0875,451816.6323673071,400000.0
2018.0,675000.0,23300.0,Petrol,Automatic,18.5,1197,1197,115.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2018.0,819999.0,32600.0,Diesel,Manual,24.3,1248,1248,200.0,5.0,647996.1115363587,525000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2018.0,390000.0,10300.0,Petrol,Manual,23.95,998,998,90.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2014.0,1500000.0,77000.0,Diesel,Manual,12.55,2982,2982,343.0,7.0,647996.1115363587,525000.0,11.0,512367.17586206895,451816.6323673071,400000.0
2013.0,700000.0,99000.0,Diesel,Manual,12.99,2494,2494,200.0,7.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2014.0,1450000.0,27800.0,Diesel,Automatic,14.8,2143,2143,200.0,5.0,647996.1115363587,525000.0,11.0,512367.17586206895,1322916.4973913042,850000.0
2015.0,425000.0,49800.0,Diesel,Manual,24.7,1498,1498,200.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2013.0,1090000.0,151000.0,Diesel,Manual,13.5,2477,2477,400.0,7.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2015.0,600000.0,54700.0,Diesel,Manual,26.0,1498,1498,200.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2018.0,850000.0,64000.0,Petrol,Manual,20.65,1462,1462,138.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2015.0,525000.0,63000.0,Diesel,Manual,27.3,1498,1498,200.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2016.0,1650000.0,127700.0,Diesel,Automatic,11.36,2755,2755,360.0,7.0,647996.1115363587,525000.0,9.0,653392.1490593343,1322916.4973913042,850000.0
2016.0,950000.0,99000.0,Diesel,Manual,12.99,2494,2494,200.0,7.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2013.0,1750000.0,33900.0,Diesel,Automatic,17.68,1968,1968,380.0,5.0,647996.1115363587,525000.0,12.0,452257.0875,1322916.4973913042,850000.0
2018.0,1590000.0,25000.0,Petrol,Automatic,14.28,1798,1798,173.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2013.0,1689999.0,50000.0,Diesel,Automatic,18.53,1968,1968,400.0,5.0,647996.1115363587,525000.0,12.0,452257.0875,1322916.4973913042,850000.0
2013.0,1425000.0,59000.0,Diesel,Automatic,14.84,2143,2143,400.0,5.0,647996.1115363587,525000.0,12.0,452257.0875,1322916.4973913042,850000.0
2011.0,265000.0,120000.0,Diesel,Manual,21.12,1248,1248,200.0,5.0,647996.1115363587,525000.0,14.0,316033.60186915885,451816.6323673071,400000.0
2011.0,190000.0,110000.0,Petrol,Manual,20.36,1197,1197,111.7,5.0,384050.7800201816,320000.0,14.0,316033.60186915885,451816.6323673071,400000.0
2013.0,425000.0,60000.0,Diesel,Manual,21.27,1396,1396,219.6,5.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2015.0,630000.0,147000.0,Diesel,Manual,26.59,1248,1248,190.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2017.0,600000.0,25000.0,Petrol,Manual,18.16,1196,1196,112.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2019.0,650000.0,30000.0,Petrol,Manual,21.4,1197,1197,115.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,451816.6323673071,400000.0
2016.0,540000.0,40000.0,Diesel,Manual,22.0,1498,1498,250.0,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2015.0,630000.0,135000.0,Diesel,Manual,25.1,1498,1498,200.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2018.0,448000.0,30000.0,Petrol,Automatic,20.51,998,998,90.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2017.0,500000.0,80000.0,Diesel,Manual,21.66,1498,1498,250.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2016.0,745000.0,70000.0,Diesel,Manual,24.3,1248,1248,200.0,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2019.0,1025000.0,9850.0,Diesel,Automatic,24.3,1248,1248,200.0,5.0,647996.1115363587,525000.0,6.0,949668.5475504323,1322916.4973913042,850000.0
2011.0,235000.0,60000.0,Petrol,Manual,20.36,1197,1197,111.7,5.0,384050.7800201816,320000.0,14.0,316033.60186915885,451816.6323673071,400000.0
2016.0,630000.0,70000.0,Diesel,Manual,25.2,1248,1248,190.0,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2015.0,1700000.0,78000.0,Diesel,Manual,12.55,2982,2982,343.0,7.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2013.0,450000.0,120000.0,Diesel,Manual,22.9,1248,1248,190.0,5.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2012.0,450000.0,120000.0,Petrol,Manual,16.02,1373,1373,130.0,7.0,384050.7800201816,320000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2013.0,450000.0,170000.0,Diesel,Manual,20.54,1598,1598,250.0,5.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2016.0,1200000.0,140000.0,Diesel,Manual,12.99,2494,2494,200.0,8.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2015.0,610000.0,90000.0,Diesel,Manual,22.77,1498,1498,205.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2016.0,2500000.0,30000.0,Petrol,Automatic,15.71,1998,1998,280.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,1322916.4973913042,850000.0
2017.0,484999.0,10000.0,Petrol,Manual,23.1,998,998,90.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2016.0,275000.0,49000.0,Petrol,Manual,19.02,1198,1198,104.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2016.0,315000.0,32000.0,Petrol,Manual,24.7,796,796,69.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2016.0,275000.0,38000.0,Petrol,Manual,24.7,796,796,69.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2012.0,290000.0,28000.0,Petrol,Manual,19.81,1086,1086,99.04,5.0,384050.7800201816,320000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2017.0,280000.0,32000.0,Petrol,Manual,14.0,796,796,6.1,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2010.0,225000.0,44000.0,LPG,Manual,26.2,998,998,77.0,5.0,210885.7142857143,200000.0,15.0,275407.16897506925,451816.6323673071,400000.0
2015.0,455000.0,42000.0,Petrol,Manual,16.47,1198,1198,110.0,5.0,384050.7800201816,320000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2015.0,351000.0,45000.0,Petrol,Manual,19.81,1086,1086,99.04,5.0,384050.7800201816,320000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2012.0,535000.0,12000.0,Petrol,Manual,15.04,1598,1598,153.0,5.0,384050.7800201816,320000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2009.0,175000.0,55500.0,Petrol,Manual,18.2,998,998,90.0,5.0,384050.7800201816,320000.0,16.0,230213.28444444443,451816.6323673071,400000.0
2013.0,525000.0,61500.0,Petrol,Manual,18.5,1197,1197,113.7,5.0,384050.7800201816,320000.0,12.0,452257.0875,451816.6323673071,400000.0
2016.0,600000.0,150000.0,Diesel,Manual,26.59,1248,1248,190.0,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2016.0,565000.0,72000.0,Petrol,Automatic,19.1,1197,1197,114.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,1322916.4973913042,850000.0
2008.0,120000.0,68000.0,Petrol,Manual,19.7,796,796,62.0,5.0,384050.7800201816,320000.0,17.0,206440.19270833334,451816.6323673071,400000.0
2017.0,725000.0,110000.0,Diesel,Manual,22.54,1396,1396,219.7,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2009.0,185000.0,77000.0,Petrol,Manual,21.79,998,998,90.0,5.0,384050.7800201816,320000.0,16.0,230213.28444444443,451816.6323673071,400000.0
2010.0,200000.0,100000.0,Diesel,Manual,18.8,1248,1248,200.0,5.0,647996.1115363587,525000.0,15.0,275407.16897506925,451816.6323673071,400000.0
2019.0,615000.0,10000.0,Petrol,Manual,21.21,1197,1197,113.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,451816.6323673071,400000.0
2016.0,270000.0,100000.0,Petrol,Manual,15.37,1196,1196,101.0,7.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2018.0,610000.0,35000.0,Petrol,Manual,21.4,1197,1197,115.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2014.0,625000.0,70000.0,Diesel,Automatic,11.79,2179,2179,290.0,8.0,647996.1115363587,525000.0,11.0,512367.17586206895,1322916.4973913042,850000.0
2020.0,400000.0,5000.0,Petrol,Manual,19.0,1194,1194,120.0,5.0,384050.7800201816,320000.0,5.0,888349.1587301587,451816.6323673071,400000.0
2017.0,866000.0,37800.0,Petrol,Manual,17.0,1591,1591,151.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2010.0,700000.0,114000.0,Petrol,Manual,14.3,1798,1798,250.0,5.0,384050.7800201816,320000.0,15.0,275407.16897506925,451816.6323673071,400000.0
2010.0,300000.0,48000.0,Petrol,Manual,15.8,1172,1172,96.0,5.0,384050.7800201816,320000.0,15.0,275407.16897506925,451816.6323673071,400000.0
2019.0,1700000.0,32000.0,Diesel,Manual,15.1,2179,2179,360.0,7.0,647996.1115363587,525000.0,6.0,949668.5475504323,451816.6323673071,400000.0
2016.0,375000.0,100000.0,Diesel,Manual,19.09,1405,1405,135.0,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2013.0,522000.0,150000.0,Diesel,Manual,22.32,1582,1582,259.8,5.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2013.0,451999.0,69000.0,Diesel,Manual,21.9,1396,1396,219.6,5.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2009.0,300000.0,100000.0,Petrol,Manual,14.53,1798,1798,173.0,5.0,384050.7800201816,320000.0,16.0,230213.28444444443,451816.6323673071,400000.0
2020.0,475000.0,13000.0,Petrol,Manual,21.63,998,998,90.0,5.0,384050.7800201816,320000.0,5.0,888349.1587301587,451816.6323673071,400000.0
2016.0,780000.0,60000.0,Diesel,Manual,24.3,1248,1248,200.0,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2017.0,595000.0,40000.0,Petrol,Manual,20.85,1197,1197,115.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2017.0,440000.0,35000.0,Petrol,Manual,20.51,998,998,90.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2014.0,400000.0,70000.0,Diesel,Manual,20.45,1461,1461,200.0,5.0,647996.1115363587,525000.0,11.0,512367.17586206895,451816.6323673071,400000.0
2016.0,1140000.0,50000.0,Diesel,Manual,19.67,1582,1582,259.9,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2017.0,850000.0,76139.0,Diesel,Manual,23.0,1498,1498,205.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,451816.6323673071,400000.0
2012.0,370000.0,175000.0,Diesel,Manual,19.3,1248,1248,190.0,5.0,647996.1115363587,525000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2018.0,350000.0,25000.0,Petrol,Manual,23.01,999,999,91.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2015.0,360000.0,40000.0,Petrol,Manual,23.1,998,998,90.0,5.0,384050.7800201816,320000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2008.0,105000.0,65000.0,Petrol,Manual,19.7,796,796,62.0,5.0,384050.7800201816,320000.0,17.0,206440.19270833334,451816.6323673071,400000.0
2013.0,625000.0,90000.0,Diesel,Manual,20.77,1248,1248,200.0,7.0,647996.1115363587,525000.0,12.0,452257.0875,451816.6323673071,400000.0
2009.0,135000.0,80000.0,Petrol,Manual,17.92,1086,1086,96.1,5.0,384050.7800201816,320000.0,16.0,230213.28444444443,451816.6323673071,400000.0
2015.0,700000.0,110000.0,Diesel,Manual,20.77,1248,1248,200.0,7.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2019.0,690000.0,1303.0,Petrol,Manual,17.8,1198,1198,109.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,451816.6323673071,400000.0
2018.0,3975000.0,31800.0,Diesel,Automatic,17.01,1968,1968,400.0,5.0,647996.1115363587,525000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2019.0,5150000.0,20000.0,Petrol,Automatic,22.37,2487,2487,202.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,1322916.4973913042,850000.0
2017.0,3200000.0,45000.0,Diesel,Automatic,19.33,1999,1999,430.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
2017.0,4100000.0,17000.0,Petrol,Automatic,9.5,3604,3604,347.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
2019.0,4500000.0,21000.0,Diesel,Automatic,12.83,1999,1999,382.0,7.0,647996.1115363587,525000.0,6.0,949668.5475504323,1322916.4973913042,850000.0
2017.0,6000000.0,37000.0,Diesel,Automatic,13.5,2987,2987,620.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
2018.0,3790000.0,29500.0,Diesel,Automatic,22.48,1995,1995,400.0,5.0,647996.1115363587,525000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2019.0,5800000.0,7500.0,Diesel,Automatic,16.78,1995,1995,400.0,5.0,647996.1115363587,525000.0,6.0,949668.5475504323,1322916.4973913042,850000.0
2018.0,1864999.0,50000.0,Petrol,Automatic,14.67,1798,1798,250.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2016.0,2700000.0,35000.0,Diesel,Automatic,15.0,2143,2143,500.0,5.0,647996.1115363587,525000.0,9.0,653392.1490593343,1322916.4973913042,850000.0
2019.0,1750000.0,19000.0,Petrol,Automatic,13.96,1451,1451,250.0,5.0,384050.7800201816,320000.0,6.0,949668.5475504323,1322916.4973913042,850000.0
2017.0,795000.0,41000.0,Petrol,Automatic,18.0,1497,1497,145.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
2013.0,625000.0,39000.0,Petrol,Automatic,14.28,1798,1798,173.0,5.0,384050.7800201816,320000.0,12.0,452257.0875,1322916.4973913042,850000.0
2018.0,3400000.0,22000.0,Diesel,Automatic,18.0,1969,1969,400.0,5.0,647996.1115363587,525000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2015.0,2650000.0,53000.0,Diesel,Automatic,12.07,2967,2967,550.0,7.0,647996.1115363587,525000.0,10.0,589345.5338235294,1322916.4973913042,850000.0
2015.0,535000.0,40000.0,Diesel,Manual,26.21,1248,1248,200.0,5.0,647996.1115363587,525000.0,10.0,589345.5338235294,451816.6323673071,400000.0
2017.0,5850000.0,47000.0,Diesel,Automatic,13.5,2987,2987,490.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
2010.0,975000.0,72200.0,Petrol,Automatic,10.8,2497,2497,250.0,5.0,384050.7800201816,320000.0,15.0,275407.16897506925,1322916.4973913042,850000.0
2016.0,805000.0,49900.0,Petrol,Manual,16.3,1797,1797,177.5,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,451816.6323673071,400000.0
2017.0,2625000.0,9000.0,Diesel,Automatic,13.6,1999,1999,430.0,5.0,647996.1115363587,525000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
2018.0,811000.0,11000.0,Petrol,Manual,17.0,1198,1198,170.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,451816.6323673071,400000.0
2011.0,375000.0,49000.0,Petrol,Manual,15.04,1598,1598,153.0,5.0,384050.7800201816,320000.0,14.0,316033.60186915885,451816.6323673071,400000.0
2012.0,550000.0,95000.0,Petrol,Manual,16.3,1797,1797,177.5,5.0,384050.7800201816,320000.0,13.0,353276.0052083333,451816.6323673071,400000.0
2016.0,645000.0,11000.0,Petrol,Automatic,14.3,1598,1598,153.0,5.0,384050.7800201816,320000.0,9.0,653392.1490593343,1322916.4973913042,850000.0
2018.0,2550000.0,18000.0,Petrol,Automatic,15.04,1991,1991,300.0,5.0,384050.7800201816,320000.0,7.0,866775.9159802307,1322916.4973913042,850000.0
2014.0,599000.0,46100.0,Petrol,Manual,16.02,1373,1373,130.0,7.0,384050.7800201816,320000.0,11.0,512367.17586206895,451816.6323673071,400000.0
2017.0,2700000.0,16000.0,Petrol,Automatic,14.74,1991,1991,300.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
2017.0,875000.0,18000.0,Petrol,Automatic,15.6,1497,1497,146.0,5.0,384050.7800201816,320000.0,8.0,731609.6882793017,1322916.4973913042,850000.0
